date_only,Resolution Description,count
2017-06-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-06-29,The Police Department responded to the complaint and took action to fix the condition.,2
2017-06-29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-06-30,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-07-01,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-07-02,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-07-04,The Police Department responded to the complaint and took action to fix the condition.,1
2017-07-05,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2017-07-05,The Police Department responded to the complaint and took action to fix the condition.,2
2017-07-06,The Police Department responded to the complaint and took action to fix the condition.,5
2017-07-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-07-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-07-09,The Police Department responded to the complaint and took action to fix the condition.,11
2017-07-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-07-10,The Police Department responded to the complaint and took action to fix the condition.,5
2017-07-15,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2017-07-15,The Police Department responded to the complaint and took action to fix the condition.,1
2017-07-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-07-16,The Police Department responded to the complaint and took action to fix the condition.,2
2017-07-17,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-07-18,The Police Department issued a summons in response to the complaint.,1
2017-07-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-07-23,The Police Department responded to the complaint and took action to fix the condition.,1
2017-07-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10
2017-07-27,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-07-27,The Police Department responded to the complaint and took action to fix the condition.,1
2017-07-28,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2017-07-28,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-07-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-07-30,The Police Department responded to the complaint and took action to fix the condition.,15
2017-07-31,The Police Department responded to the complaint and took action to fix the condition.,2
2017-08-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2017-08-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-08-05,The Police Department responded to the complaint and took action to fix the condition.,1
2017-08-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-08-07,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2017-08-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2017-08-09,The Police Department responded and upon arrival those responsible for the condition were gone.,2
2017-08-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-08-10,The Police Department responded to the complaint and took action to fix the condition.,1
2017-08-11,The Police Department responded to the complaint and took action to fix the condition.,1
2017-08-12,The Police Department responded to the complaint and took action to fix the condition.,1
2017-08-12,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-08-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-08-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6
2017-08-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-08-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2017-08-18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-08-20,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2017-08-21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-08-23,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2017-08-23,The Police Department responded to the complaint and took action to fix the condition.,2
2017-08-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-08-24,The Police Department responded to the complaint and took action to fix the condition.,1
2017-08-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,4
2017-08-25,The Police Department responded and upon arrival those responsible for the condition were gone.,1
2017-08-25,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-08-25,The Police Department responded to the complaint and took action to fix the condition.,2
2017-08-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2017-08-26,The Police Department responded to the complaint and took action to fix the condition.,2
2017-08-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2017-08-27,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-08-27,The Police Department responded to the complaint and took action to fix the condition.,25
2017-08-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6
2017-08-28,The Police Department responded to the complaint and took action to fix the condition.,1
2017-08-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-09-03,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-09-04,The Police Department responded to the complaint and took action to fix the condition.,1
2017-09-05,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-09-05,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-09-09,The Police Department responded to the complaint and took action to fix the condition.,4
2017-09-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11
2017-09-10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-09-11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2017-09-13,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-09-13,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,8
2017-09-14,The Police Department responded to the complaint and determined that police action was not necessary.,5
2017-09-14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11
2017-09-15,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-09-15,The Police Department responded to the complaint and took action to fix the condition.,12
2017-09-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10
2017-09-15,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2017-09-16,The Police Department responded to the complaint and took action to fix the condition.,2
2017-09-16,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-09-17,The Police Department responded to the complaint and took action to fix the condition.,3
2017-09-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-09-22,The Police Department responded to the complaint and determined that police action was not necessary.,3
2017-09-22,The Police Department responded to the complaint and took action to fix the condition.,1
2017-09-23,The Police Department responded to the complaint and took action to fix the condition.,1
2017-09-23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-09-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-09-25,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-09-27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-09-28,The Police Department responded to the complaint and took action to fix the condition.,7
2017-09-28,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-10-01,The Police Department responded to the complaint and took action to fix the condition.,2
2017-10-02,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-10-06,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,5
2017-10-08,The Police Department responded to the complaint and determined that police action was not necessary.,6
2017-10-08,The Police Department responded to the complaint and took action to fix the condition.,9
2017-10-08,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,13
2017-10-09,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-10-15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-10-22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,7
2017-11-04,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-11-10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-11-10,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2017-11-15,The Police Department responded to the complaint and determined that police action was not necessary.,1
2017-11-18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
2017-11-19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2
2017-11-26,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,3
2017-12-08,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,1
2017-12-24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1
